date,Sales,Order Lines,rolling_mean,rolling_std,zscore,z_flag,if_flag,if_score
2015-01-04,304.508,4,,,,False,False,
2015-01-11,4619.108,17,,,,False,True,-0.14852797501927062
2015-01-18,4130.533,18,,,,False,False,0.18432736906112673
2015-01-25,3092.5440000000003,22,,,,False,False,0.16509145635060635
2015-02-01,2527.914,17,,,,False,False,0.14146575359307412
2015-02-08,968.534,15,,,,False,False,0.09155225960652191
2015-02-15,2771.054,15,,,,False,False,0.018221104296631152
2015-02-22,224.912,10,,,,False,True,-0.027651995220615455
2015-03-01,2289.643,15,,,,False,True,-0.13803797090060899
2015-03-08,4030.728,26,,,,False,False,0.12388416797541002
2015-03-15,4139.602,27,,,,False,False,0.1720324035900715
2015-03-22,37703.665,54,,,,False,True,-0.20211352886739753
2015-03-29,3998.777,19,5446.270923076923,9805.141454948372,-0.14762601128476477,False,False,0.10757877395636656
2015-04-05,10363.902,48,6220.070461538461,9762.389574432042,0.42446897932800637,False,False,0.1373387898675802
2015-04-12,8418.293,39,6512.315461538462,9767.334211291452,0.19513794626359227,False,False,0.19010146039612386
2015-04-19,2198.37,19,6363.687538461538,9821.150117298183,-0.42411708289898586,False,False,0.12552422156665943
2015-04-26,5660.104,24,6561.192153846155,9775.596402582349,-0.09217730732092423,False,False,0.11083575608100577
2015-05-03,4974.812,23,6749.415076923076,9714.834564324658,-0.18266940781882895,False,False,0.19506218535422387
2015-05-10,6332.464,35,7162.025076923077,9561.54702599639,-0.08676013145860464,False,False,0.1795923697095536
2015-05-17,3967.87,20,7254.087846153846,9521.423194678424,-0.3451393535359852,False,False,0.17785121115067054
2015-05-24,6241.984,32,7716.939538461538,9294.8015264234,-0.15868607137748045,False,False,0.16812695052556131
2015-05-31,6523.233,29,8042.600307692308,9162.017146871436,-0.16583327484942853,False,False,0.1847908035683788
2015-06-07,8569.948,34,8391.771076923078,9082.532281028241,0.01961753810103175,False,False,0.18392816630016878
2015-06-14,8683.282000000001,23,8741.284923076922,8992.24049443964,-0.006450330494695687,False,False,0.1864299291997515
2015-06-21,11139.4446,40,6697.883353846153,2629.5596872099745,1.6890893436484227,False,False,0.17497567701178696
2015-06-28,5143.956999999999,24,6785.974123076924,2549.569277346912,-0.6440370684045942,False,False,0.18319477054474198
2015-07-05,3158.4,29,6231.704738461539,2489.4373354646523,-1.234537899259034,False,False,0.16276657314060472
2015-07-12,6290.629,37,6068.038276923077,2402.1111473615156,0.09266462266802965,False,False,0.13861864708809274
2015-07-19,1387.686,19,6005.67796923077,2518.6382883470724,-1.8335272637586473,False,False,0.08614050006752738
2015-07-26,21590.08,60,7231.060738461539,4994.633062215456,2.8748897231640216,True,True,-0.16925191289110564
2015-08-02,3255.66,16,7098.818276923078,5081.355797450629,-0.7563253647483673,False,False,0.12423601936710155
2015-08-09,13454.076,51,7646.6345846153845,5367.671651825513,1.0819293339989486,False,False,0.03582681534170973
2015-08-16,3187.942,18,7586.640123076924,5416.353531023893,-0.8121142938476924,False,False,0.1356403743531544
2015-08-23,4366.4980000000005,29,7442.3719692307695,5479.760253097466,-0.5613154275302671,False,False,0.15442092107699373
2015-08-30,4901.8925,38,7317.65346923077,5520.720646730196,-0.4375807297298357,False,False,0.18292253329659036
2015-09-06,4234.85,21,6984.184392307692,5569.486002768961,-0.493642391944394,False,False,0.18531996572246195
2015-09-13,29959.137,97,8620.788623076924,8477.280678178791,2.5171218444907355,True,True,-0.1184329477905327
2015-09-20,20685.832,64,9355.126115384615,9103.949810990982,1.2445923055217298,False,False,0.1325429440545564
2015-09-27,17249.3338,57,10286.308946153846,9255.15656515253,0.7523400392882926,False,False,0.15869519630769124
2015-10-04,11781.179,54,10949.59963846154,9007.419247609772,0.09232160052493733,False,False,0.18504678935770275
2015-10-11,4751.272,32,10831.187561538462,9083.566652985239,-0.6693313093640754,False,False,0.18167244758791995
2015-10-18,10468.226,41,11529.690638461538,8634.926326133098,-0.12292688997809705,False,False,0.14964135505173726
2015-10-25,3882.99,29,10167.606792307692,8306.049437960146,-0.7566312769083529,False,False,0.1726105781498098
2015-11-01,14794.436,49,11055.204946153846,8120.325480813944,0.4604779774752761,False,False,0.06711253810308859
2015-11-08,14934.875,61,11169.112561538463,8167.03135622654,0.46109317746043943,False,False,0.1750695118681017
2015-11-15,15130.8292,67,12087.796192307693,7860.392241587893,0.38713500728273814,False,False,0.1732518314166574
